[10:18:23.354 - INFO] initialize-db
[10:18:23.835 - INFO] Initializing database...
[10:18:23.842 - INFO]   Dropping old tables...
[10:18:24.040 - INFO]    Finished dropping old tables in 0.1 seconds.
[10:18:24.040 - INFO]   Creating new tables...
[10:18:25.610 - INFO]    Finished creating new tables in 1.15 seconds.
[10:18:25.610 - INFO]   Adding the primitive types...
[10:18:26.365 - INFO]    Finished adding the primitive types in 0.7 seconds.
[10:18:26.366 - INFO]   Adding the unknowns project...
[10:18:26.432 - INFO]    Finished adding the unknowns project in 0.0 seconds.
[10:18:26.432 - INFO]  Finished initializing database in 2.25 seconds.
